Curso,Codigo,Nota_Real,Nota_Simulada,Erro
"Informática Web, Móvel e na Nuvem",0400-L303,122.8,122.8,0.0
Computação Criativa e Realidade Virtual,0400-L331,126.8,127.0,0.2
Química Medicinal,0501-8408,120.5,120.5,0.0
Biologia,0501-9011,138.5,135.8,-2.7
Bioquímica,0501-9015,139.5,139.2,-0.3
Engenharia Civil,0501-9089,131.5,130.8,-0.7
Engenharia do Ambiente,0501-9099,126.8,128.8,2.0
Engenharia e Gestão Industrial,0501-9104,156.8,156.8,0.0
Engenharia Física,0501-9113,132.8,132.8,0.0
Engenharia Informática,0501-9119,153.0,151.5,-1.5
Engenharia Mecânica,0501-9123,140.8,140.2,-0.6
Engenharia Química,0501-9125,122.5,122.5,0.0
Física,0501-9141,139.5,139.5,0.0
Geologia,0501-9146,111.5,111.8,0.3
Matemática,0501-9209,147.0,147.0,0.0
Química,0501-9223,124.0,124.8,0.8
Arquitetura,0501-9257,162.3,161.5,-0.8
Antropologia,0501-9448,120.0,120.8,0.8
Engenharia Biomédica,0501-9455,164.3,164.2,-0.1
Design e Multimédia,0501-9891,154.5,154.5,0.0
Engenharia Eletrotécnica e de Computadores,0501-L209,111.0,109.0,-2.0
Gestão de Cidades Sustentáveis e Inteligentes,0501-L285,113.0,113.0,0.0
Direito,0502-9078,170.5,175.0,4.5
Economia,0503-9081,159.0,157.0,-2.0
Gestão,0503-9147,170.0,170.0,0.0
Relações Internacionais,0503-9229,175.0,187.0,12.0
Ciências Farmacêuticas,0504-9494,148.8,145.8,-3.0
Ciências Bioanalíticas,0504-9819,132.4,132.2,-0.2
Farmácia Biomédica,0504-9832,140.0,140.0,0.0
Português,0505-8393,141.0,142.5,1.5
Arqueologia,0505-9006,137.5,139.0,1.5
Estudos Artísticos,0505-9132,150.5,152.0,1.5
Estudos Clássicos,0505-9133,128.0,131.0,3.0
Estudos Europeus,0505-9135,156.0,158.5,2.5
Filosofia,0505-9139,145.0,147.8,2.8
Geografia,0505-9143,134.5,134.5,0.0
História,0505-9181,161.0,163.0,2.0
História da Arte,0505-9182,151.5,154.2,2.7
Ciência da Informação,0505-9694,136.4,137.2,0.8
Jornalismo e Comunicação,0505-9773,163.0,166.0,3.0
Línguas Modernas,0505-9779,158.0,159.5,1.5
"Turismo, Território e Patrimónios",0505-L109,137.5,138.5,1.0
Medicina Dentária,0506-9548,178.3,178.2,-0.1
Medicina,0506-9813,180.2,175.2,-5.0
Ciências da Educação,0507-9026,148.0,149.5,1.5
Psicologia,0507-9219,173.6,183.5,9.9
Serviço Social,0507-9238,155.5,158.0,2.5
Ciências do Desporto,0508-9707,137.9,138.0,0.1
Biologia Humana,0602-8262,123.5,123.5,0.0
Agronomia,0602-9003,101.0,101.8,0.8
Biologia,0602-9011,122.5,122.5,0.0
Biologia e Geologia,0602-9012,118.9,119.0,0.1
Bioquímica,0602-9015,101.0,103.0,2.0
Biotecnologia,0602-9016,115.0,115.0,0.0
Engenharia Informática,0602-9119,137.1,137.0,-0.1
Geografia,0602-9143,131.9,132.0,0.1
Matemática,0602-9209,113.5,113.5,0.0
