Curso,Codigo,Nota_Real,Nota_Simulada,Erro
Marketing,3011-9205,158.8,160.0,1.2
Contabilidade (regime pós-laboral),3011-9869,128.1,128.5,0.4
Finanças (regime pós-laboral),3011-9888,126.6,127.0,0.4
Gestão da Qualidade,3012-8405,135.3,135.5,0.2
Secretariado e Comunicação Empresarial,3012-9235,138.1,138.2,0.1
Gestão Comercial,3012-L021,147.7,148.0,0.3
Gestão Pública,3012-L140,142.6,142.5,-0.1
Eletrónica e Mecânica Industrial,3012-L194,135.9,136.0,0.1
Engenharia Informática Aplicada,3012-L346,139.2,139.2,0.0
Enfermagem,3013-9500,146.6,146.5,-0.1
Fisioterapia,3013-9504,162.4,162.0,-0.4
Terapia da Fala,3013-9890,143.0,143.0,0.0
Imagem Médica e Radioterapia,3013-L066,146.2,146.0,-0.2
Design de Produto e Tecnologia,3014-L138,150.1,150.0,-0.1
Automação e Sistemas de Produção,3014-L299,132.7,132.5,-0.2
Agronomia,3021-9003,140.4,140.2,-0.2
Engenharia do Ambiente,3021-9099,,95.0,
Ciência e Tecnologia dos Alimentos,3021-9350,,98.0,
Audiovisual e Multimédia,3022-9010,122.6,122.8,0.2
Serviço Social,3022-9238,118.0,118.2,0.2
Desporto,3022-9563,129.5,129.5,0.0
Educação Básica,3022-9853,128.6,128.5,-0.1
Engenharia Informática,3023-9119,125.7,125.5,-0.2
Gestão de Empresas,3023-9152,127.0,127.2,0.2
Solicitadoria,3023-9242,138.2,138.0,-0.2
Turismo,3023-9254,113.0,113.2,0.2
Gestão de Empresas (regime pós-laboral),3023-9994,95.0,99.0,4.0
Solicitadoria (regime pós-laboral),3031-8015,143.5,143.5,0.0
Contabilidade,3031-9056,147.5,147.5,0.0
Finanças,3031-9140,149.3,149.2,-0.1
Gestão de Empresas,3031-9152,165.6,176.5,10.9
Solicitadoria,3031-9242,158.2,158.8,0.6
Fiscalidade,3031-9759,140.3,140.2,-0.1
Contabilidade (regime pós-laboral),3031-9869,132.8,133.0,0.2
Fiscalidade (regime pós-laboral),3031-9990,128.6,128.5,-0.1
Gestão de Empresas (regime pós-laboral),3031-9994,150.4,150.5,0.1
Gestão Pública,3031-L140,141.2,141.2,0.0
Engenharia em Desenvolvimento de Jogos Digitais,3032-8311,131.3,131.2,-0.1
Engenharia de Sistemas Informáticos,3032-8409,155.3,155.2,-0.1
Engenharia de Sistemas Informáticos (regime pós-laboral),3032-8417,135.6,135.5,-0.1
Engenharia e Gestão Industrial,3032-9104,135.5,95.0,-40.5
Engenharia Eletrotécnica e de Computadores,3032-9112,121.4,121.5,0.1
Design Industrial,3033-9074,154.0,154.0,0.0
Design Gráfico,3033-9470,164.4,164.5,0.1
Design Gráfico (regime pós-laboral),3033-9873,146.3,146.0,-0.3
Design Audiovisual,3033-L260,156.6,156.5,-0.1
Gestão de Atividades Turísticas,3034-8156,133.4,133.5,0.1
Gestão de Atividades Turísticas (regime pós-laboral),3034-8341,110.0,110.5,0.5
Gestão Hoteleira,3034-9173,141.4,141.5,0.1
Desporto,3036-9563,163.0,163.8,0.8
Enfermagem Veterinária,3041-9085,115.0,115.0,0.0
Engenharia Agronómica,3041-9086,,96.8,
Engenharia Alimentar,3041-9087,,96.2,
Engenharia do Ambiente,3041-9099,,96.0,
Engenharia Zootécnica,3041-9129,,95.8,
Enologia,3041-9752,,97.5,
Biologia e Biotecnologia,3041-L029,112.3,112.5,0.2
Línguas Estrangeiras: Inglês e Espanhol,3042-8323,128.8,106.0,-22.8
Línguas para Relações Internacionais,3042-8374,130.0,130.0,0.0
Educação Ambiental,3042-9082,113.6,114.0,0.4
Educação Social,3042-9084,95.0,98.0,3.0
Desporto,3042-9563,116.5,116.5,0.0
Educação Básica,3042-9853,113.1,112.5,-0.6
Arte e Design,3042-9898,135.6,135.5,-0.1
Animação e Produção Artística,3042-9933,120.4,120.5,0.1
Relações Lusófonas e Língua Portuguesa,3042-L088,123.5,124.0,0.5
Música em Contextos Comunitários,3042-L175,,95.5,
Contabilidade,3043-9056,102.0,104.0,2.0
Engenharia Civil,3043-9089,144.9,144.8,-0.1
Engenharia e Gestão Industrial,3043-9104,,95.5,
Engenharia Informática,3043-9119,118.4,118.0,-0.4
Engenharia Mecânica,3043-9123,,95.0,
Engenharia Química,3043-9125,,95.0,
Gestão,3043-9147,132.1,132.0,-0.1
Engenharia de Energias Renováveis,3043-9910,,95.0,
Tecnologia Biomédica,3043-L069,126.9,127.0,0.1
Design de Jogos Digitais,3045-8309,115.0,115.5,0.5
Gestão e Administração Pública,3045-9165,100.0,101.5,1.5
Informática e Comunicações,3045-9188,,95.5,
Marketing,3045-9205,134.8,135.0,0.2
Multimédia,3045-9213,116.9,117.2,0.3
Solicitadoria,3045-9242,138.3,138.5,0.2
Turismo,3045-9254,110.0,110.2,0.2
Direção e Gestão Hoteleira,3046-9076,121.8,122.0,0.2
Engenharia de Proteção Civil,3051-8397,,95.0,
Agronomia,3051-9003,122.4,122.2,-0.2
Enfermagem Veterinária,3051-9085,126.0,126.0,0.0
Biotecnologia Alimentar,3051-L093,125.8,126.0,0.2
Serviço Social,3052-9238,124.4,124.5,0.1
Secretariado,3052-9485,120.4,120.5,0.1
Desporto e Atividade Física,3052-9850,126.2,126.5,0.3
Educação Básica,3052-9853,131.0,131.0,0.0
Engenharia das Energias Renováveis,3053-8463,,95.0,
Engenharia Civil,3053-9089,,95.0,
Engenharia e Gestão Industrial,3053-9104,,95.0,
Engenharia Eletrotécnica e das Telecomunicações,3053-9111,,95.8,
Engenharia Informática,3053-9119,120.9,120.8,-0.1
Informática e Multimédia,3053-L275,126.7,126.5,-0.2
Administração Pública,3054-9002,95.0,98.5,3.5
Gestão,3054-9147,102.0,103.5,1.5
Solicitadoria,3054-9242,136.9,137.0,0.1
Turismo,3054-9254,124.4,124.5,0.1
Gestão Comercial,3054-L021,111.0,111.5,0.5
Design de Interiores e Equipamento,3055-9725,155.8,156.2,0.4
Design de Moda e Têxtil,3055-9726,157.2,158.0,0.8
Design de Comunicação e Audiovisual,3055-L158,138.4,138.5,0.1
Agronomia,3061-9003,118.2,118.0,-0.2
Biotecnologia,3061-9016,131.5,131.5,0.0
Enfermagem Veterinária,3061-9085,156.1,156.0,-0.1
Zootecnia,3061-L003,114.9,115.0,0.1
Ciências Florestais e Recursos Naturais,3061-L009,105.0,105.2,0.2
Tecnologia Alimentar,3061-L015,114.0,114.0,0.0
Turismo em Espaços Rurais e Naturais,3061-L178,108.4,108.2,-0.2
Animação Socioeducativa (regime pós-laboral),3062-8093,109.6,110.0,0.4
Turismo (regime pós-laboral),3062-8114,115.8,116.0,0.2
Comunicação Organizacional (regime pós-laboral),3062-8342,134.8,135.0,0.2
Comunicação Social,3062-9054,153.8,154.0,0.2
Turismo,3062-9254,139.0,139.0,0.0
Animação Socioeducativa,3062-9675,132.8,133.0,0.2
Comunicação Organizacional,3062-9717,148.0,148.2,0.2
Desporto e Lazer,3062-9731,133.2,133.0,-0.2
Língua Gestual Portuguesa,3062-9774,120.1,120.2,0.1
Educação Básica,3062-9853,152.4,152.5,0.1
Comunicação e Design Multimédia,3062-9894,150.4,150.5,0.1
Arte e Design,3062-9898,164.2,164.0,-0.2
Gastronomia,3062-L095,139.0,139.0,0.0
Finanças e Contabilidade,3063-8029,145.7,145.8,0.1
Contabilidade e Auditoria,3063-9061,137.8,137.2,-0.6
Gestão de Empresas,3063-9152,156.5,156.5,0.0
Informática de Gestão,3063-9186,132.3,132.2,-0.1
Contabilidade e Gestão Pública,3063-9722,138.8,138.8,0.0
Solicitadoria e Administração,3063-9801,147.4,147.5,0.1
Marketing e Negócios Internacionais,3063-L023,149.9,150.0,0.1
Comércio e Relações Económicas Internacionais,3063-L056,146.5,146.5,0.0
Ciência de Dados para a Gestão,3063-L310,136.2,136.2,0.0
Engenharia Civil,3064-9089,113.4,113.2,-0.2
Engenharia e Gestão Industrial,3064-9104,134.0,134.0,0.0
Engenharia Eletromecânica,3064-9105,141.6,141.5,-0.1
Engenharia Informática,3064-9119,143.0,142.5,-0.5
Engenharia Mecânica,3064-9123,123.6,123.5,-0.1
Engenharia Biomédica,3064-9455,135.9,135.8,-0.1
Bioengenharia,3064-9540,119.2,119.2,0.0
Engenharia Informática (Curso Europeu),3064-9770,139.2,95.0,-44.2
Engenharia Informática (regime pós-laboral),3064-9885,130.2,130.0,-0.2
Gestão Sustentável das Cidades,3064-L155,115.5,115.5,0.0
Engenharia Eletrotécnica e de Computadores,3064-L209,125.2,125.0,-0.2
Informática Industrial,3064-L226,121.0,121.0,0.0
Contabilidade e Administração,3065-9058,132.1,131.8,-0.3
Gestão,3065-9147,148.7,149.0,0.3
Marketing,3065-9205,142.7,143.0,0.3
Gestão do Território,3065-9895,110.7,111.0,0.3
Gestão e Biociências,3065-L305,120.1,120.5,0.4
Imagem Animada,3081-8337,137.5,137.5,0.0
Ciências da Comunicação,3081-9023,146.8,147.0,0.2
Design de Comunicação,3081-9070,139.5,139.5,0.0
Educação Social,3081-9084,129.5,130.0,0.5
Desporto,3081-9563,137.7,137.8,0.1
Educação Básica,3081-9853,141.2,140.5,-0.7
Gestão,3082-9147,144.5,144.5,0.0
Gestão (regime noturno),3082-9148,128.0,128.0,0.0
Gestão Hoteleira,3082-9173,131.3,131.0,-0.3
Marketing,3082-9205,150.0,150.0,0.0
Turismo,3082-9254,119.4,119.5,0.1
Engenharia Civil,3083-9089,139.8,139.8,0.0
Engenharia Mecânica,3083-9123,136.8,136.5,-0.3
Engenharia Eletrotécnica e de Computadores,3083-L209,128.4,128.5,0.1
Engenharia de Sistemas e Tecnologias Informáticas,3083-L269,128.6,128.5,-0.1
Gestão,3087-9147,138.1,138.0,-0.1
Gestão (regime noturno),3087-9148,120.3,120.5,0.2
Turismo,3087-9254,102.0,103.8,1.8
Comunicação Multimédia,3091-8339,110.3,110.5,0.2
Animação Sociocultural,3091-9005,111.0,111.0,0.0
Educação Social Gerontológica,3091-9473,,100.0,
Desporto,3091-9563,129.5,129.5,0.0
Comunicação e Relações Públicas,3091-9652,109.7,110.0,0.3
Educação Básica,3091-9853,126.7,126.8,0.1
"Desporto, Condição Física e Saúde",3091-L034,126.2,126.2,0.0
Contabilidade,3092-9056,120.1,120.0,-0.1
Engenharia Civil,3092-9089,,95.0,
Engenharia Informática,3092-9119,120.3,120.2,-0.1
Engenharia Topográfica,3092-9128,,95.0,
Gestão,3092-9147,122.7,123.0,0.3
Gestão de Recursos Humanos,3092-9157,99.0,100.5,1.5
Marketing,3092-9205,135.2,135.0,-0.2
Energia e Ambiente,3092-9855,,98.0,
Mecânica e Informática Industrial,3092-L196,116.7,116.5,-0.2
Ciência de Dados e Inteligência Artificial,3092-L283,120.4,120.5,0.1
Design de Equipamento e Ambientes,3092-L335,117.9,118.5,0.6
Gestão Hoteleira,3095-9173,120.5,121.0,0.5
Turismo e Lazer,3095-9255,121.7,122.0,0.3
Restauração e Catering,3095-9484,119.8,120.0,0.2
Gestão do Turismo e da Hospitalidade,3095-L061,123.4,123.5,0.1
Serviço Social (regime pós-laboral),3101-8014,117.2,117.5,0.3
Educação Social,3101-9084,128.2,128.5,0.3
Serviço Social,3101-9238,132.7,133.0,0.3
Tradução e Interpretação: Português/Chinês - Chinês/Português,3101-9492,134.7,135.0,0.3
Relações Humanas e Comunicação Organizacional,3101-9797,135.6,135.5,-0.1
Desporto e Bem-Estar,3101-9851,131.3,131.5,0.2
Educação Básica,3101-9853,138.4,138.2,-0.2
Comunicação e Media,3101-L099,143.9,144.0,0.1
Relações Humanas e Comunicação Organizacional (regime pós-laboral),3101-L306,119.4,119.5,0.1
Solicitadoria (regime pós-laboral),3102-8015,107.0,108.0,1.0
Administração Pública,3102-9002,139.0,139.0,0.0
Engenharia Civil,3102-9089,135.4,135.2,-0.2
Engenharia e Gestão Industrial,3102-9104,144.2,144.2,0.0
Engenharia Eletrotécnica e de Computadores,3102-9112,127.2,127.2,0.0
Engenharia Informática,3102-9119,137.7,137.5,-0.2
Engenharia Mecânica,3102-9123,122.7,122.5,-0.2
Gestão,3102-9147,140.5,140.5,0.0
Marketing,3102-9205,139.6,139.0,-0.6
Solicitadoria,3102-9242,144.1,144.2,0.1
Contabilidade e Finanças,3102-9627,135.0,135.0,0.0
Biomecânica,3102-9690,120.4,120.2,-0.2
Engenharia Automóvel,3102-9741,126.4,126.2,-0.2
Engenharia Informática (regime pós-laboral),3102-9885,119.6,119.5,-0.1
Engenharia Mecânica (regime pós-laboral),3102-9886,,95.0,
Gestão (regime pós-laboral),3102-9991,127.9,128.0,0.1
Jogos Digitais e Multimédia (ensino em inglês),3102-A014,133.1,132.0,-1.1
Engenharia Eletrotécnica e de Computadores (regime noturno),3102-L266,159.1,159.0,-0.1
Design Gráfico e Multimédia (regime pós-laboral),3103-8126,140.0,140.0,0.0
Design de Produto - Cerâmica e Vidro,3103-8525,149.2,149.0,-0.2
Artes Plásticas,3103-9007,165.6,165.5,-0.1
Design Industrial,3103-9074,152.2,152.0,-0.2
Teatro,3103-9243,148.1,148.5,0.4
Som e Imagem,3103-9457,145.5,145.5,0.0
Design Gráfico e Multimédia,3103-9729,161.8,161.5,-0.3
Programação e Produção Cultural,3103-L127,135.2,135.2,0.0
Design de Espaços,3103-L257,151.0,151.5,0.5
Gestão de Eventos,3105-8514,114.5,114.5,0.0
Biologia Marinha,3105-9013,128.0,128.0,0.0
Biotecnologia,3105-9016,123.3,123.2,-0.1
Gestão Turística e Hoteleira,3105-9178,119.0,119.0,0.0
Marketing Turístico,3105-9207,115.5,115.5,0.0
Turismo,3105-9254,110.4,110.5,0.1
Animação Turística,3105-9848,115.4,116.0,0.6
Gestão da Restauração e Catering,3105-L131,107.6,108.0,0.4
Artes Visuais e Tecnologias,3112-8307,151.0,151.0,0.0
Animação Sociocultural,3112-9005,139.0,139.0,0.0
Educação Básica,3112-9853,149.3,149.2,-0.1
Educação Básica (regime pós-laboral),3112-9876,140.3,140.2,-0.1
Mediação Artística e Cultural,3112-L134,127.5,127.5,0.0
Relações Públicas e Comunicação Empresarial (regime pós-laboral),3113-8438,148.5,148.8,0.3
Publicidade e Marketing (regime pós-laboral),3113-8439,154.5,155.0,0.5
Audiovisual e Multimédia,3113-9010,154.0,154.5,0.5
Jornalismo,3113-9191,159.0,159.5,0.5
Publicidade e Marketing,3113-9222,163.5,164.2,0.7
Relações Públicas e Comunicação Empresarial,3113-9231,155.0,155.2,0.2
Solicitadoria (regime pós-laboral),3117-8015,142.9,143.0,0.1
Gestão,3117-9147,164.0,164.0,0.0
Solicitadoria,3117-9242,154.2,154.5,0.3
Finanças Empresariais,3117-9476,159.6,159.5,-0.1
Finanças Empresariais (regime pós-laboral),3117-9889,147.7,147.5,-0.2
Gestão (regime pós-laboral),3117-9991,151.1,95.0,-56.1
Comércio e Negócios Internacionais (regime pós-laboral),3117-L035,140.0,140.0,0.0
Engenharia Civil,3118-9089,123.7,95.0,-28.7
Engenharia Eletrónica e Telecomunicações e de Computadores,3118-9108,117.2,117.0,-0.2
Engenharia Eletrotécnica,3118-9109,108.0,108.0,0.0
Engenharia Informática e de Computadores,3118-9121,139.0,139.0,0.0
Engenharia Mecânica,3118-9123,133.8,133.8,0.0
Engenharia Química e Biológica,3118-9126,122.2,122.0,-0.2
Engenharia Biomédica,3118-9455,150.5,150.5,0.0
Engenharia Informática e Multimédia,3118-L052,131.5,131.5,0.0
Tecnologias e Gestão Municipal,3118-L085,126.2,126.2,0.0
Matemática Aplicada à Tecnologia e à Empresa,3118-L117,142.8,142.5,-0.3
"Engenharia Informática, Redes e Telecomunicações",3118-L119,134.4,134.2,-0.2
Engenharia Física Aplicada,3118-L213,118.5,118.5,0.0
Educação Social,3121-9084,121.0,121.5,0.5
Serviço Social,3121-9238,114.9,115.0,0.1
Turismo,3121-9254,106.0,108.0,2.0
Jornalismo e Comunicação,3121-9773,127.4,127.5,0.1
Educação Básica,3121-9853,125.3,125.2,-0.1
Design de Comunicação,3124-9070,119.0,119.0,0.0
Engenharia Civil,3124-9089,,95.0,
Engenharia Informática,3124-9119,138.3,138.2,-0.1
Gestão,3124-9147,113.9,114.0,0.1
Administração de Publicidade e Marketing,3124-9670,116.2,116.5,0.3
Design de Animação,3124-L308,147.2,147.5,0.3
Agronomia,3125-9003,114.9,95.0,-19.9
Enfermagem Veterinária,3125-9085,102.0,102.5,0.5
Equinicultura,3125-9130,124.5,95.0,-29.5
Línguas e Culturas Estrangeiras,3131-8002,161.7,162.5,0.8
Artes Visuais e Tecnologias Artísticas,3131-8264,167.4,167.5,0.1
Educação Social,3131-9084,155.9,156.2,0.3
Desporto,3131-9563,153.7,154.0,0.3
Tradução e Interpretação em Língua Gestual Portuguesa,3131-9807,141.6,141.8,0.2
Educação Básica,3131-9853,156.0,156.0,0.0
Educação Musical,3131-9878,125.0,125.3,0.3
Educação Social (regime pós-laboral),3131-9879,140.3,140.5,0.2
Gestão do Património Cultural,3131-L246,138.3,138.2,-0.1
Tecnologias para a Educação STEAM,3131-L272,119.1,119.2,0.1
Marketing (regime pós-laboral),3134-8005,152.4,153.0,0.6
Assessoria e Tradução,3134-9009,156.6,157.5,0.9
Ciências e Tecnologias da Documentação e Informação,3134-9043,144.1,144.0,-0.1
Comunicação Empresarial,3134-9053,164.3,166.0,1.7
Contabilidade e Administração,3134-9058,152.1,151.5,-0.6
Marketing,3134-9205,164.4,167.5,3.1
Recursos Humanos,3134-9227,160.7,161.5,0.8
Comércio Internacional,3134-9716,164.2,164.8,0.6
Assessoria e Tradução (regime pós-laboral),3134-9829,147.4,147.5,0.1
Comércio Internacional (regime pós-laboral),3134-9866,145.6,145.5,-0.1
Comunicação Empresarial (regime pós-laboral),3134-9867,148.7,149.0,0.3
Contabilidade e Administração (regime pós-laboral),3134-9870,130.8,130.5,-0.3
Criatividade e Inovação Empresarial,3134-L070,159.3,159.5,0.2
Engenharia de Sistemas,3135-8316,147.9,147.5,-0.4
Engenharia Civil,3135-9089,142.3,95.0,-47.3
Engenharia de Telecomunicações e Informática,3135-9098,145.4,145.0,-0.4
Engenharia e Gestão Industrial,3135-9104,180.7,185.2,4.5
Engenharia Eletrotécnica - Sistemas Elétricos de Energia,3135-9110,139.2,95.0,-44.2
Engenharia Eletrotécnica e de Computadores,3135-9112,144.3,144.0,-0.3
Engenharia Geotécnica e Geoambiente,3135-9117,117.5,117.5,0.0
Engenharia Informática,3135-9119,169.0,168.5,-0.5
Engenharia Mecânica,3135-9123,166.4,165.8,-0.6
Engenharia Química,3135-9125,134.6,134.5,-0.1
Engenharia Biomédica,3135-9455,171.4,171.5,0.1
Engenharia Mecânica Automóvel,3135-9936,151.2,151.0,-0.2
Biorrecursos,3135-L089,149.5,149.5,0.0
Solicitadoria (regime pós-laboral),3138-8015,149.3,149.5,0.2
Ciências Empresariais (regime pós-laboral),3138-8097,147.4,147.5,0.1
Segurança Informática em Redes de Computadores,3138-8398,135.4,95.0,-40.4
Ciências Empresariais,3138-9045,165.2,177.8,12.6
Engenharia Informática,3138-9119,157.1,157.0,-0.1
Solicitadoria,3138-9242,166.1,168.0,1.9
Gestão Industrial e Logística,3138-L030,157.7,158.0,0.3
Segurança do Trabalho e Ambiente,3138-L091,129.7,130.0,0.3
Gestão e Administração Hoteleira,3139-9164,151.7,152.0,0.3
Gestão das Atividades Turísticas,3139-9921,145.7,146.0,0.3
Gestão da Restauração e Catering,3139-L131,138.1,138.0,-0.1
Agronomia (regime pós-laboral),3141-8419,142.5,142.5,0.0
Agronomia,3141-9003,121.4,95.0,-26.4
Zootecnia,3141-L003,108.0,95.0,-13.0
Qualidade Alimentar e Nutrição Humana,3141-L080,96.0,97.5,1.5
Biologia e Biotecnologia Alimentar,3141-L259,105.0,105.0,0.0
Educação Social,3142-9084,131.2,131.2,0.0
Educação Básica,3142-9853,135.0,135.0,0.0
Educação Ambiental e Turismo de Natureza,3142-L130,111.8,112.0,0.2
Produção Multimédia em Educação,3142-L179,119.4,119.5,0.1
Gestão de Marketing,3143-9156,132.6,132.5,-0.1
Contabilidade e Fiscalidade,3143-9498,107.0,107.5,0.5
Negócios Internacionais,3143-9785,119.9,119.8,-0.1
Desporto de Natureza e Turismo Ativo,3145-9730,110.6,111.0,0.4
Gestão das Organizações Desportivas,3145-9763,133.2,133.2,0.0
Treino Desportivo,3145-9808,113.4,112.5,-0.9
Atividade Física e Estilos de Vida Saudáveis,3145-L008,114.6,114.8,0.2
"Desporto, Condição Física e Saúde",3145-L034,118.2,118.0,-0.2
Animação Sociocultural,3151-9005,131.4,131.5,0.1
Comunicação Social,3151-9054,140.0,95.0,-45.0
Desporto,3151-9563,138.4,138.5,0.1
Tradução e Interpretação de Língua Gestual Portuguesa,3151-9633,127.6,128.0,0.4
Educação Básica,3151-9853,137.8,137.5,-0.3
Tecnologias de Energia,3152-8515,127.3,127.0,-0.3
"Engenharia de Automação, Controlo e Instrumentação",3152-9092,126.9,127.0,0.1
Engenharia Eletrotécnica e de Computadores,3152-9112,,95.0,
Engenharia Informática,3152-9119,143.3,143.2,-0.1
Engenharia Mecânica,3152-9123,124.4,124.5,0.1
Tecnologia e Gestão Industrial (regime noturno),3152-9862,118.9,118.8,-0.1
Tecnologia Biomédica,3152-L069,131.5,131.5,0.0
Tecnologias do Ambiente e do Mar,3152-L124,119.1,119.0,-0.1
Gestão de Recursos Humanos (regime pós-laboral),3153-8111,129.3,129.5,0.2
Gestão de Recursos Humanos,3153-9157,143.3,143.5,0.2
Marketing,3153-9205,147.2,147.0,-0.2
Contabilidade e Finanças,3153-9627,141.5,141.5,0.0
Contabilidade e Finanças (regime noturno),3153-9628,132.1,132.0,-0.1
Gestão da Distribuição e da Logística,3153-9629,136.4,136.5,0.1
Gestão de Sistemas de Informação,3153-9630,138.5,138.5,0.0
Gestão da Distribuição e da Logística (regime pós-laboral),3153-9993,121.0,121.0,0.0
Biotecnologia,3154-9016,132.2,132.0,-0.2
Engenharia Civil,3154-9089,,95.0,
Bioinformática,3154-9687,112.9,113.0,0.1
Tecnologias do Petróleo,3154-L100,113.9,114.0,0.1
Enfermagem,3155-9500,143.0,143.0,0.0
Fisioterapia,3155-9504,156.6,156.5,-0.1
Terapia da Fala,3155-9890,136.4,136.2,-0.2
Agronomia,3161-9003,125.0,125.0,0.0
Biotecnologia,3161-9016,121.4,121.5,0.1
Enfermagem Veterinária,3161-9085,148.7,95.0,-53.7
Engenharia do Ambiente e Geoinformática,3161-L164,,95.5,
Educação Básica,3162-9853,144.6,144.5,-0.1
Artes Plásticas e Tecnologias Artísticas,3162-L122,152.8,152.8,0.0
Artes e Cinema Digital,3162-L284,146.8,147.0,0.2
Engenharia da Computação Gráfica e Multimédia,3163-8407,140.7,140.5,-0.2
Engenharia Informática,3163-9119,135.8,135.8,0.0
Engenharia Mecânica,3163-9123,117.2,117.0,-0.2
Gestão,3163-9147,151.0,151.0,0.0
Gestão (regime noturno),3163-9148,117.9,117.8,-0.1
Turismo,3163-9254,126.4,126.5,0.1
Design de Ambientes,3163-9723,150.6,150.5,-0.1
Design do Produto,3163-9727,150.0,150.0,0.0
Engenharia Civil e do Ambiente,3163-9743,125.2,125.0,-0.2
Engenharia Mecatrónica,3163-9751,,95.0,
Engenharia de Redes e Sistemas de Computadores,3163-L153,128.3,128.5,0.2
Gastronomia e Artes Culinárias,3163-L261,118.6,119.0,0.4
Gestão da Distribuição e Logística,3164-8464,108.0,108.5,0.5
Organização e Gestão Empresariais,3164-8516,137.2,137.5,0.3
Contabilidade e Fiscalidade,3164-9498,131.3,131.5,0.2
Desporto e Lazer,3165-9731,133.3,132.5,-0.8
Comunicação Social,3181-9054,127.3,127.2,-0.1
Educação Social,3181-9084,102.6,104.5,1.9
Artes Plásticas e Multimédia,3181-9347,135.4,135.5,0.1
Artes Performativas,3181-9681,126.0,126.2,0.2
Desporto e Atividade Física,3181-9850,137.3,137.5,0.2
Educação Básica,3181-9853,139.0,138.8,-0.2
Publicidade e Relações Públicas,3181-9930,126.7,126.8,0.1
Gestão Industrial,3182-8296,118.8,118.5,-0.3
Tecnologia e Design de Mobiliário,3182-8517,120.0,120.0,0.0
Contabilidade,3182-9056,131.9,131.8,-0.1
Engenharia Civil,3182-9089,134.6,95.0,-39.6
Engenharia Eletrotécnica,3182-9109,130.5,130.5,0.0
Engenharia Informática,3182-9119,142.0,142.0,0.0
Engenharia Mecânica,3182-9123,120.2,120.2,0.0
Gestão de Empresas,3182-9152,138.7,138.5,-0.2
Marketing,3182-9205,136.7,136.8,0.1
Turismo,3182-9254,108.5,109.0,0.5
Tecnologias e Design de Multimédia,3182-9491,122.9,123.0,0.1
Ciências e Tecnologia do Ambiente,3182-9709,97.0,99.5,2.5
Gestão de Empresas (regime pós-laboral),3182-9994,108.7,109.2,0.5
Biotecnologia,3185-9016,116.3,116.0,-0.3
Enfermagem Veterinária,3185-9085,137.4,137.2,-0.2
Engenharia Agronómica,3185-9086,,95.0,
Engenharia Alimentar,3185-9087,,95.0,
Engenharia Zootécnica,3185-9129,,95.0,
Engenharia Informática e Telecomunicações,3186-9122,118.5,118.5,0.0
Gestão e Informática,3186-9168,122.5,122.5,0.0
"Gestão Turística, Cultural e Patrimonial",3186-9179,120.8,121.0,0.2
Serviço Social,3186-9238,116.2,116.5,0.3
Gestão Comercial,3186-L021,116.2,116.5,0.3
Secretariado de Administração,3186-L116,112.0,112.5,0.5
Contabilidade,3241-9056,125.1,125.0,-0.1
Gestão de Empresas,3241-9152,110.0,110.0,0.0
Gestão de Recursos Humanos e Comportamento Organizacional,3241-9640,115.0,115.0,0.0
Turismo e Gestão do Património Cultural,3241-L207,115.2,115.5,0.3
Engenharia Civil,3242-9089,,95.0,
Engenharia Eletrotécnica e de Computadores,3242-9112,,95.0,
Engenharia Informática,3242-9119,121.8,121.8,0.0
Conservação e Restauro,3242-9380,138.8,138.8,0.0
Design e Tecnologia das Artes Gráficas,3242-9644,121.2,121.0,-0.2
Fotografia,3242-9645,125.0,125.2,0.2
Tecnologia Química,3242-L142,,97.5,
Gestão da Edificação e Obras,3242-L186,,98.0,
Engenharia Mecânica,3243-9123,,95.0,
Informática e Tecnologias Multimédia,3243-L143,126.6,126.5,-0.1
Computação e Logística,3243-L211,,96.2,
Comunicação Social: Jornalismo e Comunicação Empresarial,3243-L297,128.1,128.0,-0.1
Design,3331-9069,149.8,153.2,3.4
Multimédia,3331-9213,174.3,191.0,16.7
Fotografia,3331-9645,161.8,165.0,3.2
Cinema e Audiovisual,3331-9713,160.4,170.0,9.6
Desenho,5402-8399,180.5,190.5,10.0
Artes Plásticas,5402-9007,174.5,175.2,0.7
Design de Comunicação,5402-9070,178.5,189.0,10.5
Serviço Social (regime pós-laboral),6800-8014,143.0,143.5,0.5
Finanças e Contabilidade,6800-8029,163.0,163.0,0.0
Sociologia (regime pós-laboral),6800-8109,131.0,131.0,0.0
Informática e Gestão de Empresas (regime pós-laboral),6800-8366,151.5,151.5,0.0
Ciência Política,6800-9019,165.5,167.5,2.0
Economia,6800-9081,166.8,167.0,0.2
Engenharia de Telecomunicações e Informática,6800-9098,127.5,127.5,0.0
Engenharia Informática,6800-9119,164.0,163.8,-0.2
Gestão,6800-9147,171.5,171.2,-0.3
Gestão de Marketing,6800-9156,166.0,166.0,0.0
Gestão de Recursos Humanos,6800-9157,170.5,182.5,12.0
Informática e Gestão de Empresas,6800-9189,161.0,161.0,0.0
Psicologia,6800-9219,173.5,185.8,12.3
Serviço Social,6800-9238,156.5,157.5,1.0
Sociologia,6800-9240,148.0,148.0,0.0
Arquitetura,6800-9257,166.5,166.5,0.0
Antropologia,6800-9448,132.0,132.0,0.0
Engenharia Informática (regime pós-laboral),6800-9885,141.5,141.5,0.0
História Moderna e Contemporânea,6800-9927,146.5,146.5,0.0
