Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Medicina,0400-9813,182.3,174.0,-8.3
1,Matemática e Aplicações,0400-9835,130.1,128.2,-1.9
1,Estudos Portugueses e Espanhóis,0400-9918,126.2,125.0,-1.2
1,Física e Aplicações,0400-L205,149.9,150.5,0.6
1,Tecnologia e Produto de Moda Sustentável,0400-L258,133.6,133.0,-0.6
1,Química Medicinal,0501-8408,113.8,111.5,-2.3
1,Biologia,0501-9011,150.5,151.0,0.5
1,Bioquímica,0501-9015,148.0,142.5,-5.5
1,Engenharia Civil,0501-9089,123.8,119.5,-4.3
1,Engenharia do Ambiente,0501-9099,118.0,115.0,-3.0
1,Engenharia e Gestão Industrial,0501-9104,149.8,149.0,-0.8
1,Engenharia Física,0501-9113,148.8,143.5,-5.3
1,Engenharia Informática,0501-9119,158.0,157.5,-0.5
1,Engenharia Mecânica,0501-9123,141.5,137.5,-4.0
1,Engenharia Química,0501-9125,124.0,121.0,-3.0
1,Física,0501-9141,141.5,137.5,-4.0
1,Geologia,0501-9146,130.0,129.5,-0.5
1,Matemática,0501-9209,148.5,145.5,-3.0
1,Química,0501-9223,116.5,116.5,0.0
1,Arquitetura,0501-9257,158.5,158.0,-0.5
1,Antropologia,0501-9448,133.0,131.5,-1.5
1,Engenharia Biomédica,0501-9455,165.5,159.5,-6.0
1,Design e Multimédia,0501-9891,154.5,150.5,-4.0
1,Engenharia e Ciência de Dados,0501-L192,145.0,147.5,2.5
1,Engenharia Eletrotécnica e de Computadores,0501-L209,119.3,118.0,-1.3
1,Gestão de Cidades Sustentáveis e Inteligentes,0501-L285,122.5,116.5,-6.0
1,Administração Público-Privada,0502-8067,161.5,168.0,6.5
1,Direito,0502-9078,168.0,180.2,12.2
1,Economia,0503-9081,151.0,153.0,2.0
1,Gestão,0503-9147,166.0,161.5,-4.5
1,Relações Internacionais,0503-9229,169.5,174.0,4.5
1,Sociologia,0503-9240,145.0,144.0,-1.0
1,Ciências Farmacêuticas,0504-9494,156.4,154.5,-1.9
1,Ciências Bioanalíticas,0504-9819,143.4,144.5,1.1
1,Farmácia Biomédica,0504-9832,147.2,149.5,2.3
1,Português,0505-8393,144.0,146.2,2.2
1,Arqueologia,0505-9006,141.0,142.0,1.0
1,Estudos Artísticos,0505-9132,146.0,146.0,0.0
1,Estudos Clássicos,0505-9133,135.5,136.0,0.5
1,Estudos Europeus,0505-9135,155.5,154.0,-1.5
1,Filosofia,0505-9139,140.5,140.0,-0.5
1,Geografia,0505-9143,138.0,135.0,-3.0
1,História,0505-9181,158.5,170.5,12.0
1,História da Arte,0505-9182,147.5,150.0,2.5
1,Ciência da Informação,0505-9694,139.6,139.2,-0.4
1,Jornalismo e Comunicação,0505-9773,164.0,173.0,9.0
1,Línguas Modernas,0505-9779,161.0,185.5,24.5
1,"Turismo, Território e Patrimónios",0505-L109,140.5,138.5,-2.0
1,Medicina Dentária,0506-9548,182.3,177.5,-4.8
1,Medicina,0506-9813,184.2,179.0,-5.2
1,Ciências da Educação,0507-9026,140.0,138.5,-1.5
1,Psicologia,0507-9219,170.4,198.0,27.6
1,Serviço Social,0507-9238,154.5,156.0,1.5
1,Ciências do Desporto,0508-9707,139.7,135.5,-4.2
1,Biologia Humana,0602-8262,140.2,138.5,-1.7
1,Agronomia,0602-9003,118.4,117.0,-1.4
1,Biologia,0602-9011,148.8,152.5,3.7
1,Biologia e Geologia,0602-9012,138.4,138.5,0.1
1,Bioquímica,0602-9015,134.9,134.5,-0.4
1,Biotecnologia,0602-9016,134.6,137.0,2.4
1,Engenharia Informática,0602-9119,135.1,136.0,0.9
1,Geografia,0602-9143,129.5,128.5,-1.0
1,Matemática,0602-9209,122.5,119.0,-3.5
1,Matemática Aplicada à Economia e à Gestão,0602-9210,127.5,126.0,-1.5
1,Engenharia Mecatrónica,0602-9751,113.7,109.0,-4.7
1,Enologia,0602-9752,115.2,114.5,-0.7
1,Física e Química,0602-9760,137.3,134.0,-3.3
1,Ciência e Tecnologia Animal,0602-9818,132.0,131.5,-0.5
1,Medicina Veterinária,0602-9847,168.4,184.5,16.1
1,Engenharia de Energias Renováveis,0602-9910,133.9,135.5,1.6
1,Ecologia e Ambiente,0602-L090,114.0,115.0,1.0
1,Design,0603-9069,150.4,148.5,-1.9
1,Teatro,0603-9243,142.4,142.5,0.1
1,Arquitetura,0603-9257,151.7,156.0,4.3
1,Artes Plásticas e Multimédia,0603-9347,138.9,139.5,0.6
1,História e Arqueologia,0604-8251,139.0,134.5,-4.5
1,Ciências da Educação,0604-9026,134.7,134.5,-0.2
1,Economia,0604-9081,137.0,138.5,1.5
1,Gestão,0604-9147,155.4,156.0,0.6
1,Psicologia,0604-9219,161.9,184.0,22.1
1,Relações Internacionais,0604-9229,154.0,151.0,-3.0
1,Sociologia,0604-9240,131.4,130.0,-1.4
1,Turismo,0604-9254,131.9,126.2,-5.7
1,Património Cultural,0604-9787,122.5,125.0,2.5
